profile_id,route_folder,personal_route_load_match_review_level,activity_count,activity_id_short_list,windows_n,speed_mps_median_median_avg,low_speed_ratio_avg,stopped_ratio_avg,heart_rate_bpm_median_avg,uphill_high_route_load_ratio_avg,behavior_weather_context_review_required_ratio_avg,match_flags_observed,interpretation_boundary
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,PERSONAL_ROUTE_LOAD_MATCH_MODERATE_ATTENTION,3,23_1|38_1|9_1,245,0.544597,0.147342,0.002192,134.718256,0.195944,0.538847,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_HIGH_UPHILL_LOAD_EXPOSURE_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,PERSONAL_ROUTE_LOAD_MATCH_MULTI_FACTOR_ATTENTION,4,42_1|43_1|46_1|48_1,336,0.478033,0.333746,0.03574,127.949405,0.136905,0.541667,RELATIVE_HIGH_BEHAVIOR_WEATHER_OVERLAP_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_ROUTE_LOAD_BEHAVIOR_RESPONSE_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_UPHILL_LOAD_EXPOSURE_MATCH_REVIEW|RELATIVE_SLOWER_SPEED_MATCH_REVIEW,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,PERSONAL_ROUTE_LOAD_MATCH_REFERENCE_RANGE,6,14_1|29_1|35_1|3_1|40_1|41_1,497,0.749544,0.144108,0.005106,142.973498,0.098516,0.449246,NO_PERSONAL_ROUTE_LOAD_MATCH_ATTENTION_FLAG,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,PERSONAL_ROUTE_LOAD_MATCH_SINGLE_FACTOR_ATTENTION,12,13_1|15_1|16_1|20_1|28_1|30_1|33_1|36_1|37_1|44_1|45_1|8_1,976,0.734761,0.164299,0.015538,155.982527,0.146487,0.430993,RELATIVE_HIGH_HR_CONTEXT_MATCH_REVIEW|RELATIVE_HIGH_LOW_SPEED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_STOPPED_RATIO_MATCH_REVIEW|RELATIVE_HIGH_UPHILL_LOAD_EXPOSURE_MATCH_REVIEW,"Descriptive CH6.5.4 personal route-load match review only. This layer compares each activity against the current activity-group reference ranges for route-load exposure, movement behavior, heart-rate context, and weather-behavior overlap. It is not an ability score, ability rank, ability class, THCI, radar, final hiking risk score, route suitability score, go/no-go decision, medical diagnosis, or causality evidence."
