"觀測時間(hour)","測站氣壓(hPa)","重力位高度(gpm)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","總雲量_衛星(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","Geopotential Height","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","Cloud Amount Sat","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","918.6","1510.1","23.1","21.2","89","2.2","180","5.1","180","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"02","918.1","1504.0","22.6","21.2","92","1.2","160","4.6","140","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"03","917.8","1499.4","21.5","20.8","96","0.6","50","2.9","190","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"04","917.9","1500.2","21.2","20.9","98","0.6","40","1.8","340","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"05","918.0","1498.9","20.9","20.7","99","0.5","60","1.5","170","0.0","0.0","--","0.00","--","0","--","6.0","23.1","24.6","25.1","25.4","25.2","24.7","23.1"
"06","918.0","1498.8","21.7","21.2","97","0.8","360","1.5","340","0.0","0.0","0.0","0.04","--","0","--","0.0","--","--","--","--","--","--","--"
"07","918.0","1499.9","23.3","22.8","97","0.5","160","1.4","170","0.0","0.0","0.5","0.45","--","0","--","4.0","--","--","--","--","--","--","--"
"08","917.9","1500.0","24.6","22.7","89","1.8","160","4.2","180","0.0","0.0","1.0","1.38","50.0","2","6.0","9.0","--","--","--","--","--","--","--"
"09","917.5","1497.2","25.7","22.6","83","2.2","180","5.9","140","0.0","0.0","0.8","1.87","50.0","4","6.0","8.0","24.7","24.5","24.8","25.2","25.2","24.7","23.1"
"10","917.3","1495.7","26.1","23.4","85","2.8","180","7.7","190","0.0","0.0","0.8","2.63","--","7","--","8.0","--","--","--","--","--","--","--"
"11","916.8","1491.3","26.4","24.1","87","3.1","170","8.2","150","0.0","0.0","0.5","2.28","50.0","7","7.0","3.0","--","--","--","--","--","--","--"
"12","916.0","1483.8","26.5","24.4","88","2.6","170","7.3","140","0.0","0.0","0.4","2.71","--","9","--","1.0","--","--","--","--","--","--","--"
"13","915.8","1481.9","26.4","24.1","87","3.3","160","9.9","160","0.0","0.0","0.4","2.61","--","9","--","1.0","--","--","--","--","--","--","--"
"14","915.3","1477.6","27.3","24.4","84","3.1","170","10.1","110","0.0","0.0","0.8","3.28","50.0","10","5.0","1.0","27.4","25.8","25.3","25.2","25.1","24.7","23.1"
"15","914.9","1471.4","26.2","24.1","88","3.2","190","10.4","120","0.0","0.0","0.7","2.66","--","7","--","4.0","--","--","--","--","--","--","--"
"16","914.4","1465.9","25.8","23.9","89","3.7","170","10.3","180","0.0","0.0","0.5","1.73","--","3","--","2.0","--","--","--","--","--","--","--"
"17","914.3","1463.6","24.9","23.9","94","3.2","180","10.3","180","0.0","0.0","0.3","0.89","50.0","1","8.0","0.0","--","--","--","--","--","--","--"
"18","914.2","1462.7","24.1","23.4","96","3.3","180","11.6","170","0.0","0.0","0.1","0.38","--","0","--","0.0","--","--","--","--","--","--","--"
"19","914.5","1466.8","23.7","23.2","97","3.6","180","10.4","160","0.0","0.0","0.0","0.07","--","0","--","7.0","--","--","--","--","--","--","--"
"20","915.0","1472.6","23.4","23.1","98","2.9","180","11.9","150","0.0","0.0","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"21","915.3","1476.5","23.2","22.9","98","3.1","190","9.1","190","0.0","0.0","--","0.00","--","0","--","6.0","24.6","25.7","25.6","25.4","25.1","24.7","23.1"
"22","915.3","1477.1","23.4","23.2","99","2.2","190","8.9","200","T","0.1","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"23","914.9","1473.5","23.3","23.3","100","2.5","190","8.1","150","T","0.2","--","0.00","--","0","--","6.0","--","--","--","--","--","--","--"
"24","914.5","1469.7","23.2","23.2","100","2.8","190","9.8","140","T","0.2","--","0.00","--","0","--","8.0","--","--","--","--","--","--","--"
