case_id,route_source_path,graph_source_path,node_id,mainline_route_dist_m,lat,lon,side_branch_neighbor_node_id,side_branch_neighbor_lat,side_branch_neighbor_lon,side_branch_distance_from_mainline_m,side_branch_angle_deg,classification_reason
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328422,121.5947927",1458.0,25.03284222,121.59479266,"coord:25.0328413,121.5947828",25.03284125,121.59478281,0.998,56.497,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328413,121.5947828",3989.0,25.03284125,121.59478281,"coord:25.0328422,121.5947927",25.03284222,121.59479266,0.998,56.497,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328413,121.5947828",3989.0,25.03284125,121.59478281,"coord:25.0328403,121.5947730",25.03284028,121.59477295,0.998,123.503,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328403,121.5947730",1459.0,25.03284028,121.59477295,"coord:25.0328393,121.5947631",25.03283931,121.5947631,0.998,56.497,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328403,121.5947730",1459.0,25.03284028,121.59477295,"coord:25.0328413,121.5947828",25.03284125,121.59478281,0.998,123.503,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328393,121.5947631",3988.0,25.03283931,121.5947631,"coord:25.0328375,121.5947534",25.03283748,121.59475344,0.995,129.074,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328393,121.5947631",3988.0,25.03283931,121.5947631,"coord:25.0328403,121.5947730",25.03284028,121.59477295,0.998,56.497,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328375,121.5947534",1460.0,25.03283748,121.59475344,"coord:25.0328393,121.5947631",25.03283931,121.5947631,0.995,129.074,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328247,121.5947059",1469.0,25.03282466,121.59470593,"coord:25.0328217,121.5946966",25.03282168,121.59469658,0.999,2.281,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328217,121.5946966",3978.0,25.03282168,121.59469658,"coord:25.0328247,121.5947059",25.03282466,121.59470593,0.999,24.851,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328092,121.5946594",3978.0,25.03280918,121.59465939,"coord:25.0328068,121.5946498",25.03280683,121.59464982,0.999,150.952,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0328068,121.5946498",1470.0,25.03280683,121.59464982,"coord:25.0328092,121.5946594",25.03280918,121.59465939,0.999,144.098,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0327998,121.5946211",1470.0,25.03279978,121.59462112,"coord:25.0327974,121.5946116",25.03279742,121.59461155,0.999,35.902,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0327974,121.5946116",3956.0,25.03279742,121.59461155,"coord:25.0327998,121.5946211",25.03279978,121.59462112,0.999,42.787,neighbor edge is not aligned to matched mainline route corridor
zhonghua_ust_jiuwufeng,outputs/ib1c_route_profile_semantics_v1_3b_contract_qa/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b/zhonghua_ust_jiuwufeng_roundtrip_biji_osmrefresh_v1_3b_route_profile_semantic_enriched.csv,MERGED_GRAPH_SOURCES,"coord:25.0327888,121.5945945",3956.0,25.03278876,121.5945945,"coord:25.0327834,121.5945865",25.03278342,121.59458652,1.0,115.96,neighbor edge is not aligned to matched mainline route corridor
