profile_id,route_folder,check_name,check_status,check_value,details
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,source_files_available,PASS,5,5/5
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,activity_rows_present,PASS,25,per-activity rows generated
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,context_complete_gate_generated,PASS,25,context_complete_n=25
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,previous_review_required_preserved_for_traceability,PASS,25,v1 review-required wording is preserved only as previous_* traceability fields
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,relative_attention_layer_generated,PASS,4,CONTEXT_COMPLETE_NO_RELATIVE_ATTENTION_FLAG|MODERATE_RELATIVE_ATTENTION_REVIEW|MULTI_FACTOR_RELATIVE_ATTENTION_REVIEW|SINGLE_FACTOR_RELATIVE_ATTENTION_REVIEW
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,forbidden_columns_absent,PASS,0,NONE
qixing_lengshuikeng_activity_group_full25,qixing_lengshuikeng,interpretation_boundary_present,PASS,1,interpretation_boundary generated in outputs
